ID,Pueblo exacto,Latitud,Longitud,Tipo de oficio,Descripción,Email,Teléfono,Enlace,Enlace imágenes,latitude,longitude
5166,BERMEO,,,ELABORACIÓN DE FLORES SECAS,"Elaboración de flores secas: Diseño y elaboración de tocados florales, apliques varios con flor de porcelana para vestidos de novia, apliques para zapatos, tocados para niñas, ramos de flores, centros de flores con bases de madera hechas y pintadas a mano, jarrones pintados a mano, letras florales, prendidos, ramos, centros",flowers@daudikana.com,657720921,https://apli.bizkaia.net/apps/danok/at/castellano/ca_Detalle.asp?Codigo=5166&Act=14&SubAct=02,https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2020-5166-0014-0002P1.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2020-5166-0014-0002P2.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2020-5166-0014-0002P3.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2020-5166-0014-0002P4.JPG,43.4194242,-2.7231562
5041,ABADIÑO,,,ARTESANIA,Asociación de Artesanía,artisautza@gmail.com,656725538,https://apli.bizkaia.net/apps/danok/at/castellano/ca_Detalle.asp?Codigo=5041&Act=99&SubAct=99,https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2014-5041-0099-0099P1.jpg,43.1531317,-2.6078471
5098,BERMEO,,,ALFARERÍA Y CERÁMICA,Diseño y elaboración de cerámicas de tipo utilitario para el mundo de la mesa y la decoración.,vicentealcaidezs@gmail.com,688667829,https://apli.bizkaia.net/apps/danok/at/castellano/ca_Detalle.asp?Codigo=5098&Act=04&SubAct=10,https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2016-5098-0004-0010P1.jpg; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2016-5098-0004-0010P2.jpg; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2016-5098-0004-0010P3.jpg; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2016-5098-0004-0010P4.jpg,43.4194242,-2.7231562
5205,BARAKALDO,,,ALFARERÍA Y CERÁMICA,"Taller de cerámica : creamos todo tipo de objetos de cerámica al torno y modelando, desde vajillas a joyería de porcelana, objetos decorativos como esculturas o marcos, etc",bbarabino@yahoo.es,606796555,https://apli.bizkaia.net/apps/danok/at/castellano/ca_Detalle.asp?Codigo=5205&Act=04&SubAct=10,https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2022-5205-0004-0010P1.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2022-5205-0004-0010P2.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2022-5205-0004-0010P3.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2022-5205-0004-0010P4.JPG,43.29548,-2.9900933
179,ORTUELLA,,,ALFARERÍA Y CERÁMICA,"Escultura, murales y cerámica creativa realizada totalmente a mano con los materiales más selectos y exclusivos para conseguir piezas únicas. La elegancia de las formas junto a un proceso ancestral pe",novoa@kova-novoa.com,615747674,https://apli.bizkaia.net/apps/danok/at/castellano/ca_Detalle.asp?Codigo=179&Act=04&SubAct=10,https://apli.bizkaia.net/apps/danok/at/imagenes/7-30-00-2000-0179P1.jpg; https://apli.bizkaia.net/apps/danok/at/imagenes/7-30-00-2000-0179P2.jpg; https://apli.bizkaia.net/apps/danok/at/imagenes/7-30-00-2000-0179P3.jpg; https://apli.bizkaia.net/apps/danok/at/imagenes/7-30-00-2000-0179P4.jpg,43.3105667,-3.0555981
5031,SESTAO,,,ALFARERÍA Y CERÁMICA,"Reutilización de materiales diversos para la creación de nuevos elementos decorativos, funcionales y artísticos.",errealkubo@gmail.com,656308602,https://apli.bizkaia.net/apps/danok/at/castellano/ca_Detalle.asp?Codigo=5031&Act=04&SubAct=10,https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2014-5031-0004-0010P1.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2014-5031-0004-0010P2.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2014-5031-0004-0010P3.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2014-5031-0004-0010P4.JPG,43.309341,-3.0074501
65,BILBAO,,,ALFARERÍA Y CERÁMICA,"Taller de Alfarería Popular Vasca que produce una variada gama de objetos,añadiendo al uso práctico y cotidiano cualidades decorativas y estéticas.
Trofeos y regalo de empresa.
Diseño e impresión en cerámica.",loitzceramica@gmail.com,944760147,https://apli.bizkaia.net/apps/danok/at/castellano/ca_Detalle.asp?Codigo=65&Act=04&SubAct=10,https://apli.bizkaia.net/apps/danok/at/imagenes/7-30-00-1993-0065-0004-0010P1.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/7-30-00-1993-0065-0004-0010P2.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/7-30-00-1993-0065-0004-0010P3.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/7-30-00-1993-0065-0004-0010P4.JPG,43.2630018,-2.9350039
5105,OROZKO,,,ALFARERÍA Y CERÁMICA,"Diseño y elaboración de objetos mediante pastas arcillosas moldeables y horneables que modela tornea, moldea, estiba y decora.",gurene_g@yahoo.es,645714122,https://apli.bizkaia.net/apps/danok/at/castellano/ca_Detalle.asp?Codigo=5105&Act=04&SubAct=10,https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2016-5105-0004-0010P1.jpg; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2016-5105-0004-0010P2.jpg; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2016-5105-0004-0010P3.jpg; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2016-5105-0004-0010P4.jpg,43.1068473,-2.9120602
5242,AREATZA,,,ALFARERÍA Y CERÁMICA,"Taller de cerámica donde elaboro utilitarios y piezas únicas mediante varias técnicas en baja temperatura: churros, pellizco y torno. Imparto cursos monográficos a adultos y talleres específicos para niños y niñas. Participo activamente de las ferias artesanas y también acepto encargos.",buztinola@gmail.com,615731182,https://apli.bizkaia.net/apps/danok/at/castellano/ca_Detalle.asp?Codigo=5242&Act=04&SubAct=10,https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2023-5242-0004-0010P1.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2023-5242-0004-0010P2.JPG; https://apli.bizkaia.net/apps/danok/at/imagenes/8-29-AT-2023-5242-0004-0010P3.JPG,43.1214494,-2.7694128
205,PORTUGALETE,,,ALFARERÍA Y CERÁMICA,"Esculturas de pequeño formato utilizables para decoración, trofeos, premios y homenajes. Colección propia de figuras y por encargo. Imaginería religiosa y belenismo. Restauración arquitectónica. Imagi",info@lokatz.com,688684286,https://apli.bizkaia.net/apps/danok/at/castellano/ca_Detalle.asp?Codigo=205&Act=04&SubAct=10,https://apli.bizkaia.net/apps/danok/at/imagenes/7-30-00-2002-0205P1.jpg; https://apli.bizkaia.net/apps/danok/at/imagenes/7-30-00-2002-0205P2.jpg; https://apli.bizkaia.net/apps/danok/at/imagenes/7-30-00-2002-0205P3.jpg; https://apli.bizkaia.net/apps/danok/at/imagenes/7-30-00-2002-0205P4.jpg,43.3191292,-3.0199529
