"blazy href","media__image src","field","field 2","field 3","clearfix","field 4"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/yolanda-olea-rubio","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-06/Foto%20ETURIA%20%285%29.jpg.webp?itok=u9cPhT5j","Yolanda","Olea Rubio","Diseñadora textil","Diseñadora textil con un enfoque sostenible basado en la recuperación y...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/silvia-del-mazo-fernandez","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-07/Silvia%20del%20Mazo_0.jpg.webp?itok=b1f4yA-s","Silvia","del Mazo Fernández","Cerámica","Técnica alfarera y ceramista realizó sus estudios en la Escuela de Artes y...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/antonio-relano-luna","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-11/Antonio%20Rela%C3%B1o%20vidriero%202_1%20%281%29.jpg.webp?itok=vjhGdvqT","Maestro artesano","Antonio","Relaño Luna","Nos dedicamos a la fabricación de todo tipo de vidrieras y de espacios: techos...","Cerámica, Vidriero"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/juan-andres-barbero-garcia","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-03/Juan%20Andres%20Barbero%20cuchillero%202%20-%20copia_0.jpg.webp?itok=PYAY_-tu","Maestro artesano","Juan Andrés","Barbero García","Barbero Cuchilleros es una empresa familiar con una tradición heredada...","Cuchillero y Navajero"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/adriana-laura-mendez-magnani","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-07/Foto%20Adriana%20.pdf_page-0001_0.jpg.webp?itok=TMwT7978","Maestro artesano","Adriana Laura","Mendez Magnani","Mi nombre es Adriana, artesana especializada en joyería textil y joyería tejida...","Joyero"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/rosa-maria-rodriguez-moreno","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-04/ROSA%20MARIA%20RODRIGUEZ.jpg.webp?itok=H4eI2ynl","Rosa María","Rodríguez Moreno","Cerámica","ALFARERA-CERAMISTA desde hace 35 años. Creando objetos de uso utilitario...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/rocio-lozano-montero","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2023-03/Rocio%20Lozano%20Bordadora%202.jpg.webp?itok=TfP65YaP","Maestro artesano","Rocío","Lozano Montero","Artesanía Rocío Lozano es una empresa familiar dedicada a la artesanía que...","Bordado"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/asuncion-caballero-parra","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-10/recorte%20%281%29.jpg.webp?itok=oSrMYBBe","Asunción","Caballero Parra","Metalistera","Asunción Caballero Parra nace en Toledo en 1971, en un entorno creativo...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/mary-astrid-collet-foche","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-06/IMG_20240625_160330_0.jpg.webp?itok=-AGcI3qc","Mary-Astrid","Collet Foche","Joyera","Hija, nieta y sobrina de arquitectos, Mary-Astrid COLLET, desde muy joven, se...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/agnelio-serrano-tolmo","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-10/FOTO%20AGNELIO_0.jpg.webp?itok=4blSnyOd","Maestro artesano","Agnelio","Serrano Tolmo","Comencé en el oficio de broncista en el año 1.997. Aunque desde mucho antes...","Broncista"
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/susana-munoz-ros","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-04/IMG_20250116_204813_page-0001_0.jpg.webp?itok=muf96QFq","Susana","Muñoz Ros","Decoradora textil","Hola, soy Susana, la diseñadora, patronista, costurera, fotógrafa y...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/francisco-lopez-de-la-isidra-prieto","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2025-07/IMG-20250725-WA0001.jpg.webp?itok=nq-I1hb5","Francisco","López de la Isidra Prieto","Navajero","Empezamos con mi padre a la cabeza desde que tengo uso de razón, y voy hacer 59...",""
"https://legadoartesano.castillalamancha.es/guardianes-del-legado-artesano/mario-fernandez-de-la-cal","https://legadoartesano.castillalamancha.es/sites/default/files/styles/embajador/public/2024-02/Mario%20Fern%C3%A1ndez%20de%20la%20Cal%20Cer%C3%A1mica%202.jpg.webp?itok=ArhBzhad","Mario","Fernández de la Cal","Cerámica","Fábrica de cerámica artística tradicional ubicada en la población toledana de El...",""
